2025-06-02 11:38:07 | INFO     | __main__:on_shutdown:41 | Остановка бота...
2025-06-02 11:38:07 | INFO     | __main__:on_shutdown:45 | Бот остановлен
2025-06-02 12:00:02 | INFO     | db_manager.manager:__init__:18 | Инициализация базы данных: /Users/cooldom/VoiceSticker/bot_database.db
2025-06-02 12:00:03 | INFO     | image_generation_service.service:__init__:39 | Инициализация сервиса генерации изображений (MVP mode: False)
2025-06-02 12:00:10 | INFO     | stt_service.service:__init__:29 | Инициализация STT сервиса (MVP mode: False)
2025-06-02 12:00:10 | INFO     | __main__:main:88 | Запуск в режиме polling (разработка)
2025-06-02 12:00:10 | INFO     | __main__:on_startup:25 | Запуск бота VoiceSticker...
2025-06-02 12:00:10 | INFO     | __main__:on_startup:28 | Инициализация базы данных...
2025-06-02 12:00:10 | INFO     | db_manager.manager:init_db:96 | База данных успешно инициализирована
2025-06-02 12:00:10 | INFO     | __main__:on_startup:32 | Инициализация сервисов...
2025-06-02 12:00:10 | INFO     | image_generation_service.service:initialize:47 | Инициализация сервиса генерации через Replicate API
2025-06-02 12:00:10 | INFO     | stt_service.service:initialize:38 | Загружаем Whisper модель 'base'...
2025-06-02 12:00:11 | INFO     | stt_service.service:initialize:47 | Whisper модель успешно загружена!
2025-06-02 12:00:11 | INFO     | __main__:on_startup:36 | ✅ Бот успешно запущен!
2025-06-02 12:00:24 | INFO     | logger:log_user_action:69 | User action: start_command
2025-06-02 12:00:44 | INFO     | image_generation_service.service:_generate_sd_sticker:210 | Финальный промпт для генерации: sticker of cat космонавт with сигаретой, default style, die-cut sticker, white background
2025-06-02 12:00:51 | INFO     | image_generation_service.service:_generate_sd_sticker:238 | Получен URL изображения: https://replicate.delivery/xezq/jawblkF5fETfrEb3j2AZhC8wQi2n8MSN7Ze8ehe9C6CYINWmC/out-0.png
2025-06-02 12:00:52 | INFO     | image_generation_service.service:_generate_sd_sticker:251 | Изображение успешно загружено и обработано
2025-06-02 12:00:54 | INFO     | logger:log_user_action:69 | User action: sticker_created
